PLAN_CONVENIO,Compañia final,Canal
KAPITALIZER RED DE MASTER BROKERS GLOBALES SEGURIDAD 2025 ,KAPITALIZER,EMPRESARIAL
SIEMENS ENERGY EMPLEADOS PRESTACION SEGURIDAD 2025,SIEMENS,EMPRESARIAL
SIEMENS HEALTHCARE DIAGNOSTICS EMPLEADOS PRESTACION SEGURIDAD 2025,SIEMENS,EMPRESARIAL
FLEX N GATE-VENTRAMEX EMPLEADOS SEGURIDAD OPCIONAL 2025,FLEX N GATES,EMPRESARIAL
BUFETE DE ASESORIA ADMINISTRATIVA EMPLEADOS SEGURIDAD 10 % 2025,BUFETE DE ASESORIA ADMINISTRATIVA,EMPRESARIAL
WILLIAMS SCOTSMAN EMPLEADOS AFILIACION 2024,WS SERVICIOS DE MEXICO,EMPRESARIAL
SIEMENS EMPLEADOS PRESTACION AFILIACION 2025,SIEMENS,EMPRESARIAL
INDITEX CORPORACION DE SERVICIOS XXI EMPLEADOS AFILIACION 2025,INDITEX,EMPRESARIAL
PURATOS EMPLEADOS PRESTACION AUTORREALIZACION VISION 2025,PURATOS,EMPRESARIAL
COLGATE- BUSINESS SERVICES OF THE AMERICAS OPCIONAL EMPLEADOS AUTORREALIZACION 2025,COLGATE,EMPRESARIAL
KINGSPAN-  INSULATED PANELS EMPLEADOS PRESTACION SEGURIDAD 2025,INNOVACION EN AISLAMIENTO,EMPRESARIAL
VEEDA BIENESTAR EMPLEADOS OCTUBRE LIMPIEZA 2025,VEEDA,EMPRESARIAL
THYSSENKRUPP METALURGICA EMPLEADOS PRESTACION SEGURIDAD 2025,THYSSENKRUPP,EMPRESARIAL
ESENTIA- TARAHUMARA PIPELINE EMPLEADOS PRESTACION VISION SEGURIDAD 2025,ESENTIA,EMPRESARIAL
INVEX - AMMPER ENERGIA EMPLEADOS RECONOCIMIENTO 2025,INVEX-AMMPER,EMPRESARIAL
CASPEX EMPLEADOS SEGURIDAD 2025-2026,CASPEX,EMPRESARIAL
MUFG BANK MEXICO EMPLEADOS OPCIONAL AUTORREALIZACION (VISION) 2025,BANK OF TOKYO,EMPRESARIAL
EY GDS EMPLEADOS AUTORREALIZACION 2025,MANCERA,EMPRESARIAL
ITALMEX EMPLEADOS OPCIONAL AUTORREALIZACION 2025,ITALMEX,EMPRESARIAL
ITALMEX EMPLEADOS OPCIONAL SEGURIDAD 2025,ITALMEX,EMPRESARIAL
DENTALIA FAMILIARES EXTENSIVO AUTORREALIZACION OCTUBRE 2025,DENTALIA,EMPRESARIAL
INVEX - AMMPER SERVICIOS ENERGETICOS EMPLEADOS RECONOCIMIENTO 2025,INVEX-AMMPER,EMPRESARIAL
VITA AGENTE DE SEGUROS EMPLEADOS AUTORREALIZACION 2025,INTERESSE EMPLEADOS,EMPRESARIAL
DAIMLER-VEHICULOS COMERCIALES BUSES EMPLEADOS PRESTACION AFILIACION 2025,DAIMLER MANUFACTURAS,EMPRESARIAL
BROVE-AGENTE DE SEGUROS Y DE FIANZAS EMPLEADOS OPCIONAL AUTORREALIZACION 2025,BROVE,EMPRESARIAL
DAIMLER-VEHICULOS COMERCIALES TRUCKS EMPLEADOS PRESTACION AFILIACION 2025,DAIMLER MANUFACTURAS,EMPRESARIAL
AXITY FAMILY RECONOCIMIENTO 2025,AXITY,EMPRESARIAL
ITALMEX-DIVINE SKIN EMPLEADOS OPCIONAL AUTORREALIZACION 2025,ITALMEX,EMPRESARIAL
FLEX N GATES-LUNKOMEX EMPLEADOS AUTORREALIZACION OPCIONAL 2025,FLEX N GATES,EMPRESARIAL
CENTRO INTER-AGENTE DE SEGUROS Y DE FIANZAS EMPLEADOS AUTORREALIZACION OPCIONAL 2025,CENTRO INTER,EMPRESARIAL
COLGATE-MISSION HILLS OPCIONAL EMPLEADOS AUTORREALIZACION 2025,COLGATE,EMPRESARIAL
KOBLENZ PORTAL EMPLEADOS SEGURIDAD 2025,KOBLENZ,EMPRESARIAL
MERCEDES BENZ-MOBILITY MEXICO EMPLEADOS PRESTACION AFILIACION 2025,MERCEDES BENZ,EMPRESARIAL
MERCEDES BENZ-MEXICO INTERNATIONAL EMPLEADOS PRESTACION AFILIACION 2025,MERCEDES BENZ,EMPRESARIAL
THYSSENKRUPP PRESTA DE MEXICO EMPLEADOS PRESTACION SEGURIDAD 2025,THYSSENKRUPP,EMPRESARIAL
CENTRO INTER-ENERGONRE INTERMEDIARIO EMPLEADOS AUTORREALIZACION OPCIONAL 2025,CENTRO INTER,EMPRESARIAL
INTERESSE VITA AGENTE DE SEGUROS EMPLEADOS AFILIACION 2025,INTERESSE EMPLEADOS,EMPRESARIAL
COPARMEX EMPLEADOS OPCIONAL AFILIACION 2025,COPARMEX,EMPRESARIAL
ORACLE DE MEXICO EMPLEADOS AUTORREALIZACION 2025,ORACLE,EMPRESARIAL
THYSSENKRUPP-MATERIALS DE MEXICO EMPLEADOS PRESTACION VISION ELEMENTAL 2025,THYSSENKRUPP,EMPRESARIAL
AON FLEX PORTAL EMPLEADOS SEGURIDAD 2026,PORTAL AON FLEX,EMPRESARIAL
NTT DATA PORTAL UPGRADE SEGURIDAD 2025,PORTAL NTT DATA,EMPRESARIAL
MERCEDES BENZ-MEXICO EMPLEADOS PRESTACION AFILIACION 2025,MERCEDES BENZ,EMPRESARIAL
ZSCALER-TECHNOLOGIES MEXICO EMPLEADOS PRESTACION AFILIACION 2025,ZSCALER,EMPRESARIAL
ESENTIA- MEMS III  EMPLEADOS PRESTACION VISION SEGURIDAD 2025,ESENTIA,EMPRESARIAL
CENTRO INTER-DE SERVICIOS EMPLEADOS OPCIONAL AFILIACION 2025,CENTRO INTER,EMPRESARIAL
GRUPO INTERESSE AGENTE DE SEGUROS Y DE FIANZAS EMPLEADOS AFILIACION 2025,INTERESSE EMPLEADOS,EMPRESARIAL
LINCOLN-LINCOLN ELECTRIC MEXICANA EMPLEADOS OPCIONAL AUTORREALIZACION 2025,LINCOLN,EMPRESARIAL
HERSHEYS EMPLEADOS PRESTACION SEGURIDAD 2025,HERSHEYS,EMPRESARIAL
FLEX-N-GATES MEXICO PLASTICOS EMPLEADOS AUTORREALIZACION OPCIONAL 2025,FLEX N GATES,EMPRESARIAL
CINEPOLIS MORELIA REVISIONES EN SITIO COMERCIAL 2025,PORTAL CINEPOLIS,EMPRESARIAL
ORACLE DE MEXICO EMPLEADOS AFILIACION 2025,ORACLE,EMPRESARIAL
ALPLA MEXICO EMPLEADOS OPCIONAL AUTORREALIZACION 2025,ALPLA TRADING,EMPRESARIAL
CRISTAL JOYAS EMPLEADOS PREVENTIVO 2025,CRISTAL JOYAS,EMPRESARIAL
CENTRO INTER-UNIFIN AGENTE EMPLEADOS SEGURIDAD OPCIONAL 2025,CENTRO INTER,EMPRESARIAL
DAIMLER-MEXICO EMPLEADOS PRESTACION AFILIACION 2025,DAIMLER MANUFACTURAS,EMPRESARIAL
THYSSENKRUPP POLYSIUS MEXICO EMPLEADOS PRESTACION SEGURIDAD 2025,THYSSENKRUPP,EMPRESARIAL
ORACLE GLOBAL MEXICO EMPLEADOS OPCIONAL AFILIACION 2025,ORACLE,EMPRESARIAL
CENTRO INTER-REASINTER INTERMEDIARIO EMPLEADOS SEGURIDAD OPCIONAL 2025,CENTRO INTER,EMPRESARIAL
HERSHEY MEXICO EMPLEADOS OPCIONAL AFILIACION UP GRADE 2025,HERSHEYS,EMPRESARIAL
KRISPY KREME SERVICIOS ADMINISTRATIVOS EMPLEADOS OPCIONAL AMPLIO 2025,KRISPY KREME,EMPRESARIAL
KRISPY KREME SERVICIOS ADMINISTRATIVOS EMPLEADOS AFILIACION 2025,KRISPY KREME,EMPRESARIAL
DUPONT ORION SEGURIDAD 2025 ,DUPONT,EMPRESARIAL
GRUPO INTERESSE AGENTE DE SEGUROS EMPLEADOS AUTORREALIZACION 2025,INTERESSE EMPLEADOS,EMPRESARIAL
BBVA PORTAL EMPLEADOS AFILIACIÓN 1 EXTENSION,PORTAL BBVA,EMPRESARIAL
ESENTIA-MEMS II EMPLEADOS PRESTACION VISION SEGURIDAD 2025,ESENTIA,EMPRESARIAL
UANE EMPLEADOS LIMPIEZA 2025,LOTTUS,EMPRESARIAL
KRISPY KREME MEXICO EMPLEADOS AFILIACION 2025,KRISPY KREME,EMPRESARIAL
PROCTER AND GAMBLE PORTAL EMPLEADOS VISION AMPLIO 2026 EXTENSIÓN,PORTAL P&G,EMPRESARIAL
DAIMLER-MANUFACTURA EMPLEADOS PRESTACION AFILIACION 2025,DAIMLER MANUFACTURAS,EMPRESARIAL
LOGISTORAGE EMPLEADOS OPCIONAL AFILIACION 2025,LOGISTORAGE,EMPRESARIAL
COLGATE-MISSION HILLS OPCIONAL EMPLEADOS SEGURIDAD 2025,COLGATE,EMPRESARIAL
CENTRO INTER-AWAS HOLDING EMPLEADOS AUTORREALIZACION OPCIONAL 2025,CENTRO INTER,EMPRESARIAL
VITA AGENTE DE SEGUROS EMPLEADOS RECONOCIMIENTO 2025,INTERESSE EMPLEADOS,EMPRESARIAL
BUFETE DE ASESORIA ADMINISTRATIVA EMPLEADOS SEGURIDAD 20 % 2025,BUFETE DE ASESORIA ADMINISTRATIVA,EMPRESARIAL
CARESTREAM DENTAL DE MEXICO COMERCIO EMPLEADOS AUTORREALIZACION 2025,CARESTREAM,EMPRESARIAL
3M PORTAL EMPLEADOS SEGURIDAD 2025 EXTENSION,PORTAL 3M,EMPRESARIAL
3M PORTAL EMPLEADOS AUTORREALIZACIÓN 2025 EXTENSION,PORTAL 3M,EMPRESARIAL
CONAGRA FOODS MEXICO EMPLEADOS PRESTACION AFILIACION 2025,CONAGRA FOODS,EMPRESARIAL
LINCOLN-ELECTRIC MANUFACTURA EMPLEADOS OPCIONAL AUTORREALIZACION 2025,LINCOLN,EMPRESARIAL
VEEDA BIENESTAR EMPLEADOS NOVIEMBRE LIMPIEZA 2025 ,VEEDA,EMPRESARIAL
PAQUETEXPRESS OPERADORA DE SERVICIOS EMPLEADOS OPCIONAL AFILIACION 2025,PAQUETEXPRESS,EMPRESARIAL
ESENTIA-PIPELINE DE OCCIDENTE EMPLEADOS PRESTACION VISION SEGURIDAD 2025,ESENTIA,EMPRESARIAL
PROCTER AND GAMBLE PORTAL EMPLEADOS AUTORREALIZACION  2026 EXTENSIÓN,PORTAL P&G,EMPRESARIAL
AUNTAPI MEXICO OPTIMIZACION DE RECURSOS REGALII EMPLEADOS PRESTACION SEGURIDAD 2025,AUNTAPI MEXICO,EMPRESARIAL
SIEMENS SERVICIOS COMERCIALES EMPLEADOS PRESTACION AFILIACION 2025,SIEMENS,EMPRESARIAL
CENTRO INTER-UNIFIN AGENTE EMPLEADOS AUTORREALIZACION OPCIONAL 2025,CENTRO INTER,EMPRESARIAL
CENTRO INTER-AWAS HOLDING EMPLEADOS OPCIONAL AFILIACION 2025,CENTRO INTER,EMPRESARIAL
SIEMENS MOBILITY EMPLEADOS PRESTACION AFILIACION 2025,SIEMENS,EMPRESARIAL
MERITOR MANUFACTURING DE MEXICO EMPLEADOS PRESTACION AFILIACION 2025,MERITOR,EMPRESARIAL
PROCTER AND GAMBLE PORTAL EMPLEADOS VISION AUTORREALIZACION 2026 EXTENSIÓN,PORTAL P&G,EMPRESARIAL
MERCADO LIBRE-PSGAC EMPLEADOS PRESTACION SEGURIDAD 2025,MERCADO LIBRE,EMPRESARIAL
CENTRO INTER-REASINTER  EMPLEADOS OPCIONAL AFILIACION 2025,CENTRO INTER,EMPRESARIAL
MAS SERVICIOS PORTAL EMPLEADOS SEGURIDAD 2025,MAS SERVICIOS EMPLEADOS,EMPRESARIAL
INETUM HOLDING MEXICO EMPLEADOS PRESTACION SEGURIDAD 2025,INETUM,EMPRESARIAL
ONE PARK MEXICANA EMPLEADOS PRESTACION AFILIACION 2025,ONE PARK,EMPRESARIAL
INDUSTRIAS RHEEM PORTAL AFILIACION 2025,PORTAL RHEEM,EMPRESARIAL
MERCADO LIBRE-DEREMATE.COM EMPLEADOS PRESTACION SEGURIDAD 2025,MERCADO LIBRE,EMPRESARIAL
COLGATE-BUSINESS SERVICES OPCIONAL EMPLEADOS AFILIACION 2025,COLGATE,EMPRESARIAL
SMITHS PORTAL AUTORREALIZACIÓN 2025,PORTAL SMITHS,EMPRESARIAL
MIRAI ADVISORY EMPLEADOS ELEMENTAL 2025,MIRAI ADVISORY,EMPRESARIAL
VITTI LOGISTIC EMPLEADOS PRESTACION AFILIACION 2025,VITTI,EMPRESARIAL
CENTRO INTER-AGENTE DE SEGUROS Y DE FIANZAS EMPLEADOS SEGURIDAD OPCIONAL 2025,CENTRO INTER,EMPRESARIAL
BBVA PORTAL EMPLEADOS AMPLIO FAMILIAR 1 EXTENSION,PORTAL BBVA,EMPRESARIAL
DAIMLER FINANCIAL SERVICES MEXICO EMPLEADOS PRESTACION AFILIACION 2025,DAIMLER MANUFACTURAS,EMPRESARIAL
FLEX N GATE-VENTRAMEX EMPLEADOS AUTORREALIZACION OPCIONAL 2025,FLEX N GATES,EMPRESARIAL
INTERESSE K2 SOLUCIONES TECNOLOGICAS EMPLEADOS PRESTACION AFILIACION VISION  2025,K2,EMPRESARIAL
PAQUETEXPRESS OPERADORA DE SERVICIOS EMPLEADOS OPCIONAL AMPLIO 2025,PAQUETEXPRESS,EMPRESARIAL
MERITOR MEXICO EMPLEADOS PRESTACION AFILIACION 2025,MERITOR,EMPRESARIAL
ATLAS COPCO MEXICANA EMPLEADOS PRESTACION SEGURIDAD 2025,ATLAS COPCO,EMPRESARIAL
MINAS DE ORO NACIONAL EMPLEADOS OPCIONAL SEGURIDAD 2025,OPERASON / LOCKTON HMO,EMPRESARIAL
HERSMEX EMPLEADOS PRESTACION SEGURIDAD 2025,HERSHEYS,EMPRESARIAL
RED VOUCHER LIMPIEZA 2025,RED VOUCHER,EMPRESARIAL
RED VOUCHER SEGURIDAD 2025,RED VOUCHER,EMPRESARIAL
STRYKER MEXICO EMPLEADOS RECONOCIMIENTO 2025,STRYKER,EMPRESARIAL
MRP CKD OPCIONAL SEGURIDAD 2025,MRP,EMPRESARIAL
VEEDA BIENESTAR EMPLEADOS DICIEMBRE LIMPIEZA 2025,VEEDA,EMPRESARIAL
HERSMEX EMPLEADOS OPCIONAL AUTORREALIZACION UP GRADE 2025,HERSHEYS,EMPRESARIAL
MONTO INTEGRATEC-GRUPO TATEL EMPLEADOS PRESTACION LIMPIEZA 2025,MONTO,EMPRESARIAL
"SALLES, SAINZ-GRANT THORNTON EMPLEADOS OPCIONAL SEGURIDAD 2025","SALLES, SAINZ-GRANT THORNTON",EMPRESARIAL
RED VOUCHER AMPLIO 2025,RED VOUCHER,EMPRESARIAL
K2 SOLUCIONES TECNICAS ESPECIALIZADAS EMPLEADOS RECONOCIMIENTO 2025,K2,EMPRESARIAL
ORACLE GLOBAL MEXICO EMPLEADOS OPCIONAL AUTORREALIZACION 2025,ORACLE,EMPRESARIAL
EPIROC MEXICO EMPLEADOS PRESTACION AMPLIO 2025,EPIROC,EMPRESARIAL
IKE PORTAL EMPLEADOS AMPLIO 2025,PORTAL IKE,EMPRESARIAL
ITALMEX-DIVINE SKIN LABORATORIES EMPLEADOS OPCIONAL SEGURIDAD 2025,ITALMEX,EMPRESARIAL
ESENTIA-PIPELINE DE TOLUCA EMPLEADOS PRESTACION VISION SEGURIDAD 2025,ESENTIA,EMPRESARIAL
LINCOLN-ELECTRIC MAQUINAS EMPLEADOS OPCIONAL AUTORREALIZACION 2025,LINCOLN,EMPRESARIAL
COLGATE-MISSION HILLS OPCIONAL EMPLEADOS AFILIACION 2025,COLGATE,EMPRESARIAL
ITESM-INSTITUTO TECNOLOGICO EMPLEADOS OPCIONAL AFILIACION VISION 2026,ITESM,EMPRESARIAL
JOHN DEERE (VAPORMATIC DE MEXICO) OPCIONAL VISION AFILIACION 2025,JOHN DEERE,EMPRESARIAL
MI DOC ONLINE-HEINEKEN/CUAUHTÉMOC MOCTEZUMA EMPLEADOS PRESTACION LIMPIEZA 2026,MI DOC ONLINE,EMPRESARIAL
COLGATE- PALMOLIVE OPCIONAL EMPLEADOS SEGURIDAD 2025,COLGATE,EMPRESARIAL
MERCADO LIBRE-MELI OPERACIONES LOGISTICAS EMPLEADOS PRESTACION SEGURIDAD 2025,MERCADO LIBRE,EMPRESARIAL
MERCADO LIBRE-INSTITUCION DE FONDOS EMPLEADOS PRESTACION SEGURIDAD 2025,MERCADO LIBRE,EMPRESARIAL
MEMBRESIA DENTAL GNP,GNP,MASIVOS (ASEGURADORAS)
SOFIA SEGUROS 2024,SOFIA SEGUROS,MASIVOS (ASEGURADORAS)
MAPFRE PMMI PLATA TC,MAPFRE,MASIVOS (ASEGURADORAS)
GNP GMM PYMES PLUS,GNP,MASIVOS (ASEGURADORAS)
SALUD CON ATENCIÓN DENTAL BASICO PLAN SEGURO,PLAN SEGURO,MASIVOS (ASEGURADORAS)
SALUD CON ATENCION DENTAL + PLAN SEGURO,PLAN SEGURO,MASIVOS (ASEGURADORAS)
MAPFRE PMMI PLATA,MAPFRE,MASIVOS (ASEGURADORAS)
AXA - COLECTIVOS GRAND,AXA,MASIVOS (ASEGURADORAS)
AXA - COLECTIVOS PREMIUM,AXA,MASIVOS (ASEGURADORAS)
MAPFRE GMMI BASICO TC,MAPFRE,MASIVOS (ASEGURADORAS)
MAPFRE PMMI ORO,MAPFRE,MASIVOS (ASEGURADORAS)
BUPA SEGUROS ELEMENTAL 2023,BUPA,MASIVOS (ASEGURADORAS)
LA LATINO CLIENTES AMPLIO BASICO 2021,LA LATINO,MASIVOS (ASEGURADORAS)
GNP GMM PYMES BASICO,GNP,MASIVOS (ASEGURADORAS)
SALUD CON ATENCION DENTAL TOTAL PLAN SEGURO,PLAN SEGURO,MASIVOS (ASEGURADORAS)
GNP GMMI SANTANDER,GNP,MASIVOS (ASEGURADORAS)
BBVA SALUD SEGURIDAD,BBVA,MASIVOS (ASEGURADORAS)
MAPFRE PMMI ORO TC,MAPFRE,MASIVOS (ASEGURADORAS)
MAPFRE PLAN VALOR PACIENTES DENTALIA,MAPFRE,MASIVOS (ASEGURADORAS)
AXA - POLIZAS SIN COBERTURA,AXA,MASIVOS (ASEGURADORAS)
PLAN VALOR PACIENTES DENTALIA,AXA,MASIVOS (ASEGURADORAS)
BBVA PREVENTIVO,BBVA,MASIVOS (ASEGURADORAS)
PLAN SEGURO GMM COLECTIVOS AMPLIO,PLAN SEGURO,MASIVOS (ASEGURADORAS)
AXA - COLECTIVOS PLATINO,AXA,MASIVOS (ASEGURADORAS)
AXA - EMPLEADOS INTEGRAL (EXCESOS 4 Y 5),AXA,MASIVOS (ASEGURADORAS)
GNP GMM PYMES PREMIUM,GNP,MASIVOS (ASEGURADORAS)
LA LATINO CLIENTES AFILIACION UPGRADE 2021,LA LATINO,MASIVOS (ASEGURADORAS)
AXA - COLECTIVOS BASICO,AXA,MASIVOS (ASEGURADORAS)
GNP EMPLEADOS BASICO,GNP,MASIVOS (ASEGURADORAS)
BBVA  SALUD ELEMENTAL,BBVA,MASIVOS (ASEGURADORAS)
MAPFRE GMMI BASICO,MAPFRE,MASIVOS (ASEGURADORAS)
MAPFRE GMMI PLUS TC,MAPFRE,MASIVOS (ASEGURADORAS)
PLAN SEGURO GMM COLECTIVOS PREVENTIVO,PLAN SEGURO,MASIVOS (ASEGURADORAS)
AXA EMPLEADOS SC,AXA,MASIVOS (ASEGURADORAS)
ASISMED LEALTAD 2024,ASISMED,MASIVOS (ASEGURADORAS)
PLAN AXA PROTECCIÓN DENTAL,AXA,MASIVOS (ASEGURADORAS)
GNP CUENTAS CORPORATIVAS DANONE,GNP,MASIVOS (ASEGURADORAS)
PLAN COMEXPROCON PLAN SEGURO AMPLIO 80 2024,PLAN SEGURO,MASIVOS (ASEGURADORAS)
PLAN AXA PROTECCIÓN DENTAL INTEGRAL,AXA,MASIVOS (ASEGURADORAS)
GENTERA EMPLEADOS UPGRADE 2 2022,COMPARTAMOS,MASIVOS (ASEGURADORAS)
AXA COLECTIVOS PLAN LIMPIEZA,AXA,MASIVOS (ASEGURADORAS)
MAPFRE GMMI PLUS,MAPFRE,MASIVOS (ASEGURADORAS)
MAPFRE GMMI ESTANDAR TC,MAPFRE,MASIVOS (ASEGURADORAS)
PLAN TRANSICIÓN AXA M1B,AXA,MASIVOS (ASEGURADORAS)
AXA - EMPLEADOS BÁSICO,AXA,MASIVOS (ASEGURADORAS)
BUPA SEGUROS COLECTIVOS MEDIO AFILIACION ESPECIAL,BUPA,MASIVOS (ASEGURADORAS)
HDI,HDI,MASIVOS (ASEGURADORAS)
BUPA SEGUROS COLECTIVOS BASICO PREVENTIVO,BUPA,MASIVOS (ASEGURADORAS)
MAPFRE FUNDACION,MAPFRE,MASIVOS (ASEGURADORAS)
MAPFRE GMMI ESTANDAR,MAPFRE,MASIVOS (ASEGURADORAS)
AMASFAC EMPLEADOS PREVENTIVO 2024,AMASFAC,MASIVOS (ASEGURADORAS)
AXA - EMPLEADOS GRAND (EXCESOS 1 Y 2),AXA,MASIVOS (ASEGURADORAS)
MAPFRE COLECTIVOS TOTAL,MAPFRE,MASIVOS (ASEGURADORAS)
HDI AGENTES LIMPIEZA 2025-2026,HDI,MASIVOS (ASEGURADORAS)
PLAN DENTAL SISNOVA PREVENTIVO,SISNOVA,MASIVOS (ASEGURADORAS)
SALUD CON ATENCION DENTAL ESENCIAL PLAN SEGURO,PLAN SEGURO,MASIVOS (ASEGURADORAS)
MAWDY MAPFRE LIMPIEZA 2025-2026,MAWDY,MASIVOS (ASEGURADORAS)
PLAN LIMPIEZA SOY+,SOY +,MASIVOS (ASEGURADORAS)
GNP GMMI PLAN AGENTES,GNP,MASIVOS (ASEGURADORAS)
MAPFRE PMMI ORO UNICO 2025,MAPFRE,MASIVOS (ASEGURADORAS)
FERIA DE SALUD BBVA,BBVA,MASIVOS (ASEGURADORAS)
HSBC SERVICIO DENTAL BANCO 2025,HSBC,MASIVOS (ASEGURADORAS)
AMASFAC EMPLEADOS PREVENTIVO 2025,AMASFAC,MASIVOS (ASEGURADORAS)
SOFIA SEGUROS SEGURIDAD 2025,SOFIA SEGUROS,MASIVOS (ASEGURADORAS)
GNP VISION PLUS,GNP,MASIVOS (ASEGURADORAS)
MAPFRE COLECTIVOS ESPECIAL 2025,MAPFRE,MASIVOS (ASEGURADORAS)
MAWDY AGENTES LIMPIEZA 2025-2026,MAWDY,MASIVOS (ASEGURADORAS)
GENERAL DE SALUD 2025 COPAGO 150,GENERAL DE SALUD,MASIVOS (ASEGURADORAS)
ASISMED LEALTAD SEGUNDA LIMPIEZA 2025,ASISMED,MASIVOS (ASEGURADORAS)
PLAN LIMPIEZA SOY+ AT&T,SOY +,MASIVOS (ASEGURADORAS)
INFONAVIT EMPLEADOS ESPECIAL 2025,GENERAL DE SALUD,MASIVOS (ASEGURADORAS)
BUPA MISD 2025,BUPA,MASIVOS (ASEGURADORAS)
GNP VISION BASICO,GNP,MASIVOS (ASEGURADORAS)
MEMBRESIA FAMILIAR 3 PERSONAS,MEMBRESIA DENTALIA,MEMBRESIA DENTALIA
MEMBRESIA INDIVIDUAL,MEMBRESIA DENTALIA,MEMBRESIA DENTALIA
MEMBRESIA FAMILIAR 5 PERSONAS,MEMBRESIA DENTALIA,MEMBRESIA DENTALIA
MEMBRESIA FAMILIAR 4 PERSONAS,MEMBRESIA DENTALIA,MEMBRESIA DENTALIA
